,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
92-56551S,0.0444298739340513,0.1708287390612534,-0.0137253855789951,0.0897398506242266,0.0785489550855043,0.04665360693257,0.1053867080747643,-4.9291072408908185,-3.964430245166836e-06,p3t2
92-56706,0.0173037204562028,0.0367546000382634,0.8937177591579766,1.1326576305618818,0.9257200116063932,1.2447209255947536,1.1136049739447436,-0.0022588810151328,-3.7752114501011886e-15,p3t2
92-57128,0.023198277708219,0.046282902847276,0.8931513782174754,0.8661283511269868,0.8546853212675236,0.9661661314491324,0.8824797142466265,9.40465374124481,12.406267275512295,p3t1
92-57137,0.0282278927171973,0.046242164508085,0.8633261678207365,0.8239034725766464,0.7338269827349124,0.90195648127933,0.8195599685323447,0.0002791619346347,0.193879627905005,p3t2
92-57138,0.0255678666114944,0.055409468131195,0.8136016274606658,0.7588077188019441,0.6512670951332707,0.8620011957455201,0.752882763124398,-8.790839244597518e-05,0.0016861913354143,p3t1
92-57267,0.03521714774639,0.0567587894992726,0.9252241313847772,0.9591276799603106,0.7875122172019537,1.0055086813063117,0.9314292566208254,5.600875959648465e-08,0.0012538209384719,p3t2
92-58185,0.0943002773768135,0.2228468590186442,-1.917825238082877,0.5589957393730635,-0.4719900461765268,0.0007101538970124,0.0002013699855971,-320.8805380898088,5.494198258484545e-15,p3t2
92-58333,0.0295136731956238,0.0591311352717996,0.9297464452272466,1.0647545426218972,0.8935712937782438,1.166032017088657,1.0522333824031422,-0.0001154892826752,-2.8893738372096337e-15,p3t2
92-58848,0.1758645905066405,0.4220556513755734,-0.4427549154589283,0.1164620927192662,-0.1746147860138523,6.0864088461013526e-06,1.544800507950531e-06,-133.7376649629558,-0.788878339719745,p3t1
92-59229,0.0082306478124159,0.0155189826218824,0.9811032216575064,1.024432012248599,0.9514273171334728,1.0657442491827969,1.0117460331903176,-6.07732415404836e-12,0.0008654122231467,p3t2
92-59489,0.0301081064170616,0.0613816088494609,0.9169769433768116,0.8729574759712088,0.731169969837805,0.9638393982871616,0.8517258949718745,-1.4474204991457524e-11,1.1119630487012839e-11,p3t1
92-59588,0.0196588009566199,0.0401633034006232,0.94654374408797,1.0218610722815056,0.905790356554576,1.1206872060093085,1.0084102854378425,-0.0005249766216874,9.136015195423435e-10,p3t2
92-59748,0.0232730591134562,0.0473334336619771,0.850169768214657,1.1074164289946038,0.809895111027283,1.3113472756172029,1.047147128371209,-4.813963651025407e-12,4.650383646985896e-16,p3t2
